domain,ablation,metric,delta_convention,full_value,removal_value,delta_removal_minus_full,event_count,score_coverage_rate,audit_ok,degeneracy_audit_ok,tie_epsilon
home,without_calibration_gap,HR@5,removal_minus_full,0.1597,0.1568,-0.0029000000000000137,10000,1.0,True,True,1e-12
home,without_calibration_gap,HR@10,removal_minus_full,0.2368,0.2357,-0.0011000000000000176,10000,1.0,True,True,1e-12
home,without_calibration_gap,HR@20,removal_minus_full,0.3613,0.3593,-0.0020000000000000018,10000,1.0,True,True,1e-12
home,without_calibration_gap,NDCG@5,removal_minus_full,0.11158865639109286,0.1096054557399773,-0.0019832006511155548,10000,1.0,True,True,1e-12
home,without_calibration_gap,NDCG@10,removal_minus_full,0.13635503352938705,0.13486361127947336,-0.001491422249913693,10000,1.0,True,True,1e-12
home,without_calibration_gap,NDCG@20,removal_minus_full,0.16757911270800865,0.16600737468448212,-0.001571738023526531,10000,1.0,True,True,1e-12
home,without_evidence_support,MRR,removal_minus_full,0.12782447233056599,0.12792033704479913,9.586471423314591e-05,10000,1.0,True,True,1e-12
home,without_evidence_support,HR@5,removal_minus_full,0.1597,0.1587,-0.0010000000000000009,10000,1.0,True,True,1e-12
home,without_evidence_support,HR@10,removal_minus_full,0.2368,0.2365,-0.00030000000000002247,10000,1.0,True,True,1e-12
home,without_evidence_support,HR@20,removal_minus_full,0.3613,0.3612,-9.999999999998899e-05,10000,1.0,True,True,1e-12
home,without_evidence_support,NDCG@5,removal_minus_full,0.11158865639109286,0.11132249231664726,-0.00026616407444560175,10000,1.0,True,True,1e-12
home,without_evidence_support,NDCG@10,removal_minus_full,0.13635503352938705,0.13632175378224048,-3.327974714656401e-05,10000,1.0,True,True,1e-12
home,without_evidence_support,NDCG@20,removal_minus_full,0.16757911270800865,0.16761529731493657,3.618460692791925e-05,10000,1.0,True,True,1e-12
home,without_counterevidence,MRR,removal_minus_full,0.12782447233056599,0.1287297260476528,0.0009052537170868014,10000,1.0,True,True,1e-12
home,without_counterevidence,HR@5,removal_minus_full,0.1597,0.1603,0.0005999999999999894,10000,1.0,True,True,1e-12
home,without_counterevidence,HR@10,removal_minus_full,0.2368,0.2407,0.003899999999999987,10000,1.0,True,True,1e-12
home,without_counterevidence,HR@20,removal_minus_full,0.3613,0.3646,0.0032999999999999696,10000,1.0,True,True,1e-12
home,without_counterevidence,NDCG@5,removal_minus_full,0.11158865639109286,0.11218357220589956,0.0005949158148066958,10000,1.0,True,True,1e-12
home,without_counterevidence,NDCG@10,removal_minus_full,0.13635503352938705,0.13806623313463465,0.0017111996052475986,10000,1.0,True,True,1e-12
home,without_counterevidence,NDCG@20,removal_minus_full,0.16757911270800865,0.1691214758552619,0.0015423631472532562,10000,1.0,True,True,1e-12
home,without_risk_penalty,MRR,removal_minus_full,0.12782447233056599,0.12854100995774492,0.000716537627178937,10000,1.0,True,True,1e-12
home,without_risk_penalty,HR@5,removal_minus_full,0.1597,0.1599,0.00019999999999997797,10000,1.0,True,True,1e-12
home,without_risk_penalty,HR@10,removal_minus_full,0.2368,0.239,0.0021999999999999797,10000,1.0,True,True,1e-12
home,without_risk_penalty,HR@20,removal_minus_full,0.3613,0.3619,0.0005999999999999894,10000,1.0,True,True,1e-12
home,without_risk_penalty,NDCG@5,removal_minus_full,0.11158865639109286,0.11206971012996378,0.00048105373887091796,10000,1.0,True,True,1e-12
home,without_risk_penalty,NDCG@10,removal_minus_full,0.13635503352938705,0.13743677376836852,0.0010817402389814712,10000,1.0,True,True,1e-12
home,without_risk_penalty,NDCG@20,removal_minus_full,0.16757911270800865,0.16831393013903637,0.0007348174310277122,10000,1.0,True,True,1e-12
tools,full,MRR,removal_minus_full,0.15846483717132795,0.15846483717132795,0.0,10000,1.0,True,True,1e-12
tools,full,HR@5,removal_minus_full,0.1958,0.1958,0.0,10000,1.0,True,True,1e-12
tools,full,HR@10,removal_minus_full,0.276,0.276,0.0,10000,1.0,True,True,1e-12
tools,full,HR@20,removal_minus_full,0.4005,0.4005,0.0,10000,1.0,True,True,1e-12
tools,full,NDCG@5,removal_minus_full,0.14376782369830857,0.14376782369830857,0.0,10000,1.0,True,True,1e-12
tools,full,NDCG@10,removal_minus_full,0.16949770813562767,0.16949770813562767,0.0,10000,1.0,True,True,1e-12
tools,full,NDCG@20,removal_minus_full,0.20069407182184293,0.20069407182184293,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,MRR,removal_minus_full,0.15846483717132795,0.15846483717132795,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,HR@5,removal_minus_full,0.1958,0.1958,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,HR@10,removal_minus_full,0.276,0.276,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,HR@20,removal_minus_full,0.4005,0.4005,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,NDCG@5,removal_minus_full,0.14376782369830857,0.14376782369830857,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,NDCG@10,removal_minus_full,0.16949770813562767,0.16949770813562767,0.0,10000,1.0,True,True,1e-12
tools,without_boundary_uncertainty,NDCG@20,removal_minus_full,0.20069407182184293,0.20069407182184293,0.0,10000,1.0,True,True,1e-12
tools,without_calibration_gap,MRR,removal_minus_full,0.15846483717132795,0.1582590620893312,-0.00020577508199676187,10000,1.0,True,True,1e-12
tools,without_calibration_gap,HR@5,removal_minus_full,0.1958,0.1972,0.0013999999999999846,10000,1.0,True,True,1e-12
tools,without_calibration_gap,HR@10,removal_minus_full,0.276,0.2782,0.0021999999999999797,10000,1.0,True,True,1e-12
tools,without_calibration_gap,HR@20,removal_minus_full,0.4005,0.4046,0.0040999999999999925,10000,1.0,True,True,1e-12
tools,without_calibration_gap,NDCG@5,removal_minus_full,0.14376782369830857,0.1439150903015929,0.00014726660328434615,10000,1.0,True,True,1e-12
tools,without_calibration_gap,NDCG@10,removal_minus_full,0.16949770813562767,0.16988128476050338,0.0003835766248757033,10000,1.0,True,True,1e-12
tools,without_calibration_gap,NDCG@20,removal_minus_full,0.20069407182184293,0.2015116585371155,0.0008175867152725724,10000,1.0,True,True,1e-12
tools,without_evidence_support,MRR,removal_minus_full,0.15846483717132795,0.15863694686718763,0.00017210969585967906,10000,1.0,True,True,1e-12
tools,without_evidence_support,HR@5,removal_minus_full,0.1958,0.1953,-0.0005000000000000004,10000,1.0,True,True,1e-12
tools,without_evidence_support,HR@10,removal_minus_full,0.276,0.2762,0.00019999999999997797,10000,1.0,True,True,1e-12
tools,without_evidence_support,HR@20,removal_minus_full,0.4005,0.4005,0.0,10000,1.0,True,True,1e-12
tools,without_evidence_support,NDCG@5,removal_minus_full,0.14376782369830857,0.14370828991507598,-5.95337832325904e-05,10000,1.0,True,True,1e-12
tools,without_evidence_support,NDCG@10,removal_minus_full,0.16949770813562767,0.16968319158379333,0.00018548344816565754,10000,1.0,True,True,1e-12
tools,without_evidence_support,NDCG@20,removal_minus_full,0.20069407182184293,0.20082556658017026,0.00013149475832732738,10000,1.0,True,True,1e-12
tools,without_counterevidence,MRR,removal_minus_full,0.15846483717132795,0.16014299864221712,0.0016781614708891723,10000,1.0,True,True,1e-12
tools,without_counterevidence,HR@5,removal_minus_full,0.1958,0.1984,0.002599999999999991,10000,1.0,True,True,1e-12
tools,without_counterevidence,HR@10,removal_minus_full,0.276,0.2821,0.006099999999999994,10000,1.0,True,True,1e-12
tools,without_counterevidence,HR@20,removal_minus_full,0.4005,0.4052,0.004699999999999982,10000,1.0,True,True,1e-12
tools,without_counterevidence,NDCG@5,removal_minus_full,0.14376782369830857,0.1455597844836507,0.0017919607853421338,10000,1.0,True,True,1e-12
tools,without_counterevidence,NDCG@10,removal_minus_full,0.16949770813562767,0.17239786620427713,0.002900158068649461,10000,1.0,True,True,1e-12
tools,without_counterevidence,NDCG@20,removal_minus_full,0.20069407182184293,0.2031889630182057,0.0024948911963627585,10000,1.0,True,True,1e-12
tools,without_risk_penalty,MRR,removal_minus_full,0.15846483717132795,0.15941016204504735,0.0009453248737193998,10000,1.0,True,True,1e-12
tools,without_risk_penalty,HR@5,removal_minus_full,0.1958,0.1968,0.0010000000000000009,10000,1.0,True,True,1e-12
tools,without_risk_penalty,HR@10,removal_minus_full,0.276,0.2795,0.003500000000000003,10000,1.0,True,True,1e-12
tools,without_risk_penalty,HR@20,removal_minus_full,0.4005,0.4043,0.00379999999999997,10000,1.0,True,True,1e-12
tools,without_risk_penalty,NDCG@5,removal_minus_full,0.14376782369830857,0.14461983685192722,0.0008520131536186581,10000,1.0,True,True,1e-12
tools,without_risk_penalty,NDCG@10,removal_minus_full,0.16949770813562767,0.17113102319895984,0.0016333150633321691,10000,1.0,True,True,1e-12
tools,without_risk_penalty,NDCG@20,removal_minus_full,0.20069407182184293,0.20234409934639602,0.0016500275245530938,10000,1.0,True,True,1e-12
